year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,city,state,tags,total_sqft,building_ratio
2001,2,1,3,2,single_family,22651.0,1539.0,345000.0,Harrisburg,Pennsylvania,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'vaulted_ceiling', 'open_floor_plan', 'floor_plan', 'corner_lot', 'big_lot', 'ensuite']",24190.0,0.06794402013156152
1900,3,0,3,0,multi_family,2614.0,2429.0,196000.0,Harrisburg,Pennsylvania,"['disability_features', 'basement', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'fenced_yard', 'rental_property', 'lake']",5043.0,0.9292272379495027
1971,0,1,3,2,single_family,13504.0,1120.0,205000.0,Harrisburg,Pennsylvania,"['carport', 'central_air', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'single_story', 'corner_lot', 'big_lot', 'farm', 'ranch']",14624.0,0.08293838862559241
2013,1,2,3,3,townhomes,2688.0,2400.0,295000.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'disability_features', 'dishwasher', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'master_bedroom', 'ensuite', 'maintenance']",5088.0,0.8928571428571429
1900,0,0,3,0,multi_family,871.0,1478.0,106000.0,Harrisburg,Pennsylvania,"['dining_room', 'hardwood_floors', 'basement']",2349.0,1.6969001148105625
1900,0,3,5,6,townhomes,871.0,1608.0,10000.0,Harrisburg,Pennsylvania,"['disability_features', 'basement', 'two_or_more_stories']",2479.0,1.8461538461538463
1900,0,3,4,1,townhomes,871.0,1528.0,71500.0,Harrisburg,Pennsylvania,"['forced_air', 'basement', 'two_or_more_stories', 'rental_property', 'investment_opportunity', 'shopping']",2399.0,1.754305396096441
1940,0,1,2,1,single_family,3920.0,728.0,100000.0,Harrisburg,Pennsylvania,"['central_air', 'disability_features', 'dishwasher', 'forced_air', 'hardwood_floors', 'basement', 'single_story', 'private_parking']",4648.0,0.18571428571428572
1957,0,2,3,1,single_family,8712.0,1092.0,208000.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'forced_air', 'hardwood_floors', 'basement', 'two_or_more_stories', 'vaulted_ceiling', 'efficient', 'shopping']",9804.0,0.12534435261707988
1956,0,0,0,0,land,15682.0,0.0,28000.0,Harrisburg,Pennsylvania,[],15682.0,0.0
2019,2,2,3,3,townhomes,2370.0,1848.0,346000.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'forced_air', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'gourmet_kitchen', 'high_ceiling', 'efficient', 'farm']",4218.0,0.779746835443038
1875,0,2,4,2,single_family,29621.0,2966.0,219900.0,Harrisburg,Pennsylvania,"['family_room', 'fireplace', 'washer_dryer', 'swimming_pool', 'basement', 'two_or_more_stories', 'basketball_court', 'big_lot', 'water_view', 'basketball', 'fixer_upper']",32587.0,0.1001316633469498
1938,0,2,4,1,single_family,13504.0,1502.0,195000.0,Harrisburg,Pennsylvania,"['forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'rental_property', 'groundscare', 'fixer_upper']",15006.0,0.11122630331753554
1965,0,1,3,2,single_family,8276.0,1486.0,270000.0,Harrisburg,Pennsylvania,"['central_air', 'central_heat', 'disability_features', 'basement', 'single_story', 'big_yard', 'open_floor_plan', 'floor_plan', 'no_hoa', 'shopping']",9762.0,0.17955534074432092
2005,0,2,3,3,condos,0.0,1452.0,180000.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'dishwasher', 'hardwood_floors', 'washer_dryer', 'two_or_more_stories', 'mountain_view', 'views', 'maintenance']",1452.0,0.3272722368594926
1923,1,2,3,2,single_family,27007.0,1742.0,232000.0,Harrisburg,Pennsylvania,"['dining_room', 'dishwasher', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'corner_lot', 'big_lot', 'groundscare']",28749.0,0.06450179583071056
1928,0,2,2,1,townhomes,2178.0,1080.0,58000.0,Harrisburg,Pennsylvania,"['basement', 'two_or_more_stories', 'playground']",3258.0,0.49586776859504134
1986,1,1,3,3,single_family,9148.0,1300.0,275000.0,Harrisburg,Pennsylvania,"['central_air', 'disability_features', 'basement', 'single_story', 'garage_1_or_more', 'farm', 'ranch']",10448.0,0.14210756449497158
2005,1,1,2,2,condos,0.0,1548.0,242000.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'dishwasher', 'forced_air', 'recreation_facilities', 'senior_community', 'washer_dryer', 'single_story', 'garage_1_or_more', 'floor_plan']",1548.0,0.3272722368594926
1994,1,2,3,3,townhomes,2178.0,1600.0,241500.0,Harrisburg,Pennsylvania,"['central_air', 'central_heat', 'forced_air', 'two_or_more_stories', 'garage_1_or_more', 'new_roof', 'shopping']",3778.0,0.7346189164370982
2003,2,2,3,3,single_family,13504.0,1884.0,350000.0,Harrisburg,Pennsylvania,"['central_air', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'efficient']",15388.0,0.13951421800947866
1904,0,0,3,0,multi_family,1307.0,2136.0,274500.0,Harrisburg,Pennsylvania,"['forced_air', 'basement', 'updated_kitchen']",3443.0,1.6342769701606732
1953,1,2,3,1,townhomes,871.0,1222.0,107000.0,Harrisburg,Pennsylvania,"['central_air', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'shopping']",2093.0,1.4029850746268657
1958,0,1,3,2,single_family,6098.0,2052.0,237000.0,Harrisburg,Pennsylvania,"['central_air', 'forced_air', 'basement', 'single_story', 'modern_kitchen', 'white_kitchen', 'new_roof']",8150.0,0.33650377172843554
1920,0,3,4,2,single_family,16553.0,2324.0,305000.0,Harrisburg,Pennsylvania,"['carport', 'central_air', 'dishwasher', 'fireplace', 'forced_air', 'view', 'water_view', 'basement', 'two_or_more_stories', 'updated_kitchen', 'master_bathroom', 'master_bedroom', 'first_floor_master_bedroom', 'new_roof', 'views', 'shopping']",18877.0,0.1403975110251918
1999,2,1,2,2,condos,3920.0,1631.0,229000.0,Harrisburg,Pennsylvania,"['central_air', 'disability_features', 'fireplace', 'forced_air', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'maintenance']",5551.0,0.4160714285714286
1927,0,0,4,0,multi_family,3049.0,3137.0,225000.0,Harrisburg,Pennsylvania,"['basement', 'rental_property', 'investment_opportunity']",6186.0,1.0288619219416202
1913,0,0,4,0,multi_family,2178.0,1442.0,200000.0,Harrisburg,Pennsylvania,['forced_air'],3620.0,0.6620752984389348
1900,1,0,3,0,multi_family,1742.0,2324.0,30000.0,Harrisburg,Pennsylvania,"['central_air', 'forced_air', 'garage_1_or_more']",4066.0,1.3340987370838118
2009,2,2,3,3,single_family,13504.0,1962.0,427900.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'cathedral_ceiling', 'mountain_view', 'trails', 'views', 'shopping']",15466.0,0.14529028436018956
1913,0,0,4,0,multi_family,2178.0,1330.0,200000.0,Harrisburg,Pennsylvania,['forced_air'],3508.0,0.610651974288338
1900,0,0,4,0,multi_family,1307.0,1980.0,225000.0,Harrisburg,Pennsylvania,"['fireplace', 'forced_air']",3287.0,1.5149196633511859
1951,0,1,2,1,single_family,10454.0,1299.0,225000.0,Harrisburg,Pennsylvania,"['central_air', 'fireplace', 'basement', 'single_story', 'farm', 'ranch']",11753.0,0.12425865697340731
1955,0,1,3,2,single_family,12632.0,2215.0,283000.0,Harrisburg,Pennsylvania,"['carport', 'central_air', 'disability_features', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'single_story', 'garage_1_or_more', 'big_yard', 'exposed_brick', 'farm', 'ranch']",14847.0,0.17534832172260925
1948,0,1,3,2,single_family,11853.0,1637.0,266900.0,Harrisburg,Pennsylvania,"['central_air', 'central_heat', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'washer_dryer', 'single_story', 'open_floor_plan', 'floor_plan', 'corner_lot', 'farm', 'ranch', 'new_roof']",13490.0,0.13810849573947523
2023,2,2,3,3,single_family,15246.0,1518.0,497900.0,Harrisburg,Pennsylvania,"['central_air', 'disability_features', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'high_ceiling', 'vaulted_ceiling', 'medicalcare']",16764.0,0.09956709956709957
1987,2,3,2,3,single_family,3049.0,1476.0,260000.0,Harrisburg,Pennsylvania,"['central_air', 'dishwasher', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'master_bedroom', 'ensuite', 'new_roof']",4525.0,0.48409314529353886
1988,2,2,3,3,single_family,3920.0,1488.0,229995.0,Harrisburg,Pennsylvania,"['central_air', 'disability_features', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'efficient', 'new_roof']",5408.0,0.3795918367346939
1989,2,4,4,4,single_family,42689.0,4733.0,703125.0,Harrisburg,Pennsylvania,"['central_air', 'dining_room', 'disability_features', 'fireplace', 'forced_air', 'hardwood_floors', 'spa_or_hot_tub', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'high_ceiling', 'vaulted_ceiling', 'cathedral_ceiling', 'big_lot', 'ensuite', 'new_roof']",47422.0,0.11087165311907049
1995,2,2,3,3,single_family,9583.0,2341.0,465000.0,Harrisburg,Pennsylvania,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'cathedral_ceiling', 'open_floor_plan', 'floor_plan']",11924.0,0.24428675780027131
1900,0,3,3,3,townhomes,1742.0,2601.0,230000.0,Harrisburg,Pennsylvania,"['central_air', 'forced_air', 'view', 'water_view', 'basement', 'two_or_more_stories', 'waterfront', 'open_floor_plan', 'floor_plan', 'river_view', 'baseball']",4343.0,1.4931113662456945
1923,0,2,3,1,townhomes,2178.0,1440.0,122500.0,Harrisburg,Pennsylvania,"['disability_features', 'dishwasher', 'washer_dryer', 'basement', 'two_or_more_stories', 'fenced_yard', 'front_porch', 'rental_property', 'efficient']",3618.0,0.6611570247933884
