year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1998,2,1,3,2,7,11761.0,1478.0,129900.0,13239.0,0.12566958591956467,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,178011.03,178011.03
1945,1,2,4,2,7,6534.0,1389.0,88500.0,7923.0,0.2125803489439853,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1969,0,1,3,2,7,17424.0,2058.0,145000.0,19482.0,0.1181129476584022,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1955,0,1,3,2,7,9712.0,1432.0,65000.0,11144.0,0.14744645799011533,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1984,0,1,3,2,7,10890.0,1804.0,169000.0,12694.0,0.16565656565656567,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,178011.03,178011.03
1999,0,1,3,2,7,12632.0,1476.0,180000.0,14108.0,0.116846105129829,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
2001,0,1,4,2,7,12632.0,1888.0,260000.0,14520.0,0.14946168461051298,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,178011.03,178011.03
1962,0,1,3,2,7,13068.0,1722.0,60000.0,14790.0,0.1317722681359045,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1965,2,1,3,2,7,11326.0,1635.0,159000.0,12961.0,0.14435811407381247,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,178011.03,178011.03
1974,0,2,3,3,7,740520.0,3339.0,424900.0,743859.0,0.004508993680116675,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,178011.03,178011.03
1956,0,0,0,0,10,3397680.0,0.0,370000.0,3397680.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1969,0,1,3,2,7,14375.0,1576.0,140000.0,15951.0,0.10963478260869565,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,178011.03,178011.03
1954,0,1,3,1,7,13504.0,1736.0,149900.0,15240.0,0.12855450236966826,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1966,0,1,2,1,7,4356.0,1434.0,45000.0,5790.0,0.32920110192837465,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
2006,2,1,4,2,7,13068.0,2134.0,310000.0,15202.0,0.1632996632996633,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,178011.03,178011.03
1986,0,1,3,2,7,6970.0,1650.0,147000.0,8620.0,0.23672883787661406,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1968,2,1,5,2,7,16553.0,2264.0,195000.0,18817.0,0.13677279043073762,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,178011.03,178011.03
1968,2,1,3,2,7,16988.0,1752.0,136000.0,18740.0,0.1031316223216388,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1958,0,1,3,1,7,11326.0,961.0,31500.0,12287.0,0.08484901995408795,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1967,0,1,4,2,7,12632.0,1892.0,178000.0,14524.0,0.14977834072197593,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,178011.03,178011.03
1975,0,1,4,2,7,11326.0,1699.0,172500.0,13025.0,0.150008829242451,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178011.03,178011.03
1962,2,1,3,2,7,67954.0,1833.0,150000.0,69787.0,0.02697412955823057,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1945,0,1,3,3,7,313632.0,3092.0,170000.0,316724.0,0.009858687888990919,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1957,0,1,3,1,7,12632.0,1380.0,125000.0,14012.0,0.10924635845471818,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1984,0,1,3,2,7,6098.0,1539.0,162000.0,7637.0,0.25237782879632664,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,178011.03,178011.03
1950,0,1,3,2,7,8276.0,1178.0,111200.0,9454.0,0.14233929434509424,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1948,1,1,3,1,7,7405.0,1290.0,63000.0,8695.0,0.17420661715057395,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1964,0,1,4,2,7,16553.0,2349.0,106000.0,18902.0,0.14190781127288105,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
2001,2,1,3,2,7,6534.0,1742.0,245000.0,8276.0,0.26660544842363026,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,178011.03,178011.03
1989,0,1,4,3,7,22651.0,3137.0,310000.0,25788.0,0.13849278177563903,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,178011.03,178011.03
1950,0,1,3,1,7,15682.0,1471.0,100000.0,17153.0,0.09380181099349573,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178011.03,178011.03
1971,0,1,3,2,7,10664.0,1200.0,95900.0,11864.0,0.11252813203300825,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,178011.03,178011.03
