property_id,status,year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,sold_date,last_update_date,city,state,postal_code,tags,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan
3300959879,sold,2001,2,1,3,2,single_family,-0.028372291978016433,-0.13415963759821367,-0.09108083666507076,2024-01-16,2024-01-17 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'washer_dryer', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'vaulted_ceiling', 'open_floor_plan', 'floor_plan', 'corner_lot', 'big_lot', 'ensuite']",1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1
3149247078,sold,1900,3,0,3,0,multi_family,-0.03388637337845609,0.5177969405036611,-0.263512481139982,2024-01-16,2024-01-16 00:00:00,Harrisburg,Pennsylvania,17110,"['disability_features', 'basement', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'fenced_yard', 'rental_property', 'lake']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4686076173,sold,1971,0,1,3,2,single_family,-0.030889500271165184,-0.44109200414280414,-0.25309714690995383,2024-01-12,2024-01-13 00:00:00,Harrisburg,Pennsylvania,17111,"['carport', 'central_air', 'dishwasher', 'fireplace', 'forced_air', 'washer_dryer', 'basement', 'single_story', 'corner_lot', 'big_lot', 'farm', 'ranch']",0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
4085014275,sold,2013,1,2,3,3,townhomes,-0.0338660089514644,0.4965534115542742,-0.14894380460967185,2024-01-12,2024-01-16 00:00:00,Harrisburg,Pennsylvania,17112,"['central_air', 'dining_room', 'disability_features', 'dishwasher', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'master_bedroom', 'ensuite', 'maintenance']",1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3743385520,sold,1900,0,0,3,0,multi_family,-0.034366038192598244,-0.17884430194002757,-0.367665823440264,2024-01-12,2024-01-13 00:00:00,Harrisburg,Pennsylvania,17104,"['dining_room', 'hardwood_floors', 'basement']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3114440688,sold,1900,0,3,5,6,townhomes,-0.034366038192598244,-0.08361468940829304,-0.47876272189389807,2024-01-12,2024-01-12 00:00:00,Harrisburg,Pennsylvania,17104,"['disability_features', 'basement', 'two_or_more_stories']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4688508609,sold,1900,0,3,4,1,townhomes,-0.034366038192598244,-0.14221752788936043,-0.40759127132203876,2024-01-12,2024-01-12 00:00:00,Harrisburg,Pennsylvania,17104,"['forced_air', 'basement', 'two_or_more_stories', 'rental_property', 'investment_opportunity', 'shopping']",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3523646630,sold,1940,0,1,2,1,single_family,-0.03352696876154866,-0.7282459127000344,-0.3746093795936161,2024-01-12,2024-01-12 00:00:00,Harrisburg,Pennsylvania,17103,"['central_air', 'disability_features', 'dishwasher', 'forced_air', 'hardwood_floors', 'basement', 'single_story', 'private_parking']",0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3483921135,sold,1957,0,2,3,1,single_family,-0.032208234516356925,-0.46160299761117773,-0.24962536883327777,2024-01-12,2024-01-14 00:00:00,Harrisburg,Pennsylvania,17109,"['central_air', 'dining_room', 'forced_air', 'hardwood_floors', 'basement', 'two_or_more_stories', 'vaulted_ceiling', 'efficient', 'shopping']",0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3092875659,sold,1956,0,0,0,0,land,-0.030290125649707005,-1.2615317428777477,-0.4579320534338417,2024-01-12,2024-01-13 00:00:00,Harrisburg,Pennsylvania,17112,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9038709442,sold,2019,2,2,3,3,townhomes,-0.033953520948536806,0.09219382603490915,-0.08992357730617874,2024-01-11,2024-01-12 00:00:00,Harrisburg,Pennsylvania,17112,"['central_air', 'dining_room', 'forced_air', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'gourmet_kitchen', 'high_ceiling', 'efficient', 'farm']",1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3816697779,sold,1875,0,2,4,2,single_family,-0.026454183111366512,0.911168493807826,-0.2358539824624627,2024-01-11,2024-01-11 00:00:00,Harrisburg,Pennsylvania,17112,"['family_room', 'fireplace', 'washer_dryer', 'swimming_pool', 'basement', 'two_or_more_stories', 'basketball_court', 'big_lot', 'water_view', 'basketball', 'fixer_upper']",0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4709149570,sold,1938,0,2,4,1,single_family,-0.030889500271165184,-0.16126345039570733,-0.26466974049887404,2024-01-10,2024-01-10 00:00:00,Harrisburg,Pennsylvania,17112,"['forced_air', 'washer_dryer', 'basement', 'two_or_more_stories', 'rental_property', 'groundscare', 'fixer_upper']",0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3106457552,sold,1965,0,1,3,2,single_family,-0.0323282195186323,-0.17298401809192082,-0.1778752885819724,2024-01-10,2024-01-11 00:00:00,Harrisburg,Pennsylvania,17111,"['central_air', 'central_heat', 'disability_features', 'basement', 'single_story', 'big_yard', 'open_floor_plan', 'floor_plan', 'no_hoa', 'shopping']",0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3560584700,sold,2005,0,2,3,3,condos,-0.03460573300218965,-0.19789022444637447,-0.2820286308822544,2024-01-10,2024-01-10 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'dining_room', 'dishwasher', 'hardwood_floors', 'washer_dryer', 'two_or_more_stories', 'mountain_view', 'views', 'maintenance']",0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4338197378,sold,1923,1,2,3,2,single_family,-0.027173542735100066,0.014545065047494848,-0.22185114421986923,2024-01-10,2024-01-10 00:00:00,Harrisburg,Pennsylvania,17109,"['dining_room', 'dishwasher', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'corner_lot', 'big_lot', 'groundscare']",1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4992737614,sold,1928,0,2,2,1,townhomes,-0.03400635838073147,-0.47039342338333784,-0.42321427266708106,2024-01-10,2024-01-11 00:00:00,Harrisburg,Pennsylvania,17103,"['basement', 'two_or_more_stories', 'playground']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4745212853,sold,1986,1,1,3,3,single_family,-0.03208824951408155,-0.3092356175604025,-0.1720889917875123,2024-01-10,2024-01-15 00:00:00,Harrisburg,Pennsylvania,17109,"['central_air', 'disability_features', 'basement', 'single_story', 'garage_1_or_more', 'farm', 'ranch']",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3790201693,sold,2005,1,1,2,2,condos,-0.03460573300218965,-0.12756681826909358,-0.21027855063094902,2024-01-09,2024-01-10 00:00:00,Harrisburg,Pennsylvania,17111,"['central_air', 'dining_room', 'dishwasher', 'forced_air', 'recreation_facilities', 'senior_community', 'washer_dryer', 'single_story', 'garage_1_or_more', 'floor_plan']",1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3230593556,sold,1994,1,2,3,3,townhomes,-0.03400635838073147,-0.08947497325639978,-0.21085718031039502,2024-01-09,2024-01-09 00:00:00,Harrisburg,Pennsylvania,17110,"['central_air', 'central_heat', 'forced_air', 'two_or_more_stories', 'garage_1_or_more', 'new_roof', 'shopping']",1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3815639811,sold,2003,2,2,3,3,single_family,-0.030889500271165184,0.11856510335138948,-0.08529453987061064,2024-01-09,2024-01-10 00:00:00,Harrisburg,Pennsylvania,17111,"['central_air', 'fireplace', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'efficient']",1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
