property_id,status,year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,sold_date,last_update_date,city,state,postal_code,tags,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,state_avg_price,city_avg_price
9575838919,sold,2021,0,0,3,3,single_family,8276.0,1748.0,305000.0,2023-09-29,2023-10-03 00:00:00,Elgin,South Carolina,29045,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'view', 'big_yard', 'master_bathroom', 'master_suite', 'farm']",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,203069.24,284313.0
9283407773,sold,1956,0,0,0,0,land,1350360.0,0.0,310000.0,2024-01-05,2024-01-08 00:00:00,Boone,Iowa,50036,['big_lot'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,281314.75,1048666.6666666667
6369349598,sold,2005,2,1,3,3,single_family,8276.0,2045.0,472500.0,2024-01-11,2024-01-11 00:00:00,Tallahassee,Florida,32311,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'corner_lot', 'new_roof', 'golf_course', 'shopping']",1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,313049.3714285714,313049.3714285714
9811005142,sold,1956,0,0,0,0,land,0.0,0.0,115000.0,2023-10-20,2023-12-06 00:00:00,Columbus,Ohio,43081,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382288.5714285714,409500.0
5120139137,sold,1907,0,3,5,2,townhomes,3877.0,1963.0,200000.0,2023-12-29,2024-01-03 00:00:00,Trenton,New Jersey,08618,"['basement', 'two_or_more_stories', 'garage_1_or_more']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255675.0,203096.7741935484
9487351820,sold,1886,0,0,4,0,multi_family,2484.0,2572.0,210000.0,2023-12-27,2023-12-27 00:00:00,Trenton,New Jersey,08609,"['disability_features', 'basement', 'investment_opportunity']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255675.0,203096.7741935484
4230356406,sold,1976,1,0,4,3,single_family,7841.0,2061.0,375000.0,2023-12-27,2024-01-03 00:00:00,Albany,New York,12203,"['community_security_features', 'dining_room', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'garage_1_or_more', 'new_roof', 'shopping']",1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,265458.5294117647,245606.55172413794
8331821356,sold,2003,3,1,3,2,single_family,10890.0,2167.0,272500.0,2024-01-12,2024-01-13 00:00:00,Oklahoma City,Oklahoma,73139,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,327025.0,248384.61538461538
5989886585,sold,1986,0,1,2,2,condos,0.0,1280.0,518444.0,2023-12-18,2023-12-18 00:00:00,Annapolis,Maryland,21403,"['central_air', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'view', 'washer_dryer', 'community_swimming_pool', 'single_story', 'waterfront', 'gated_community', 'tennis', 'trails', 'beach', 'security', 'shopping']",0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,817187.2777777778,817187.2777777778
3608327600,sold,1982,0,0,4,2,single_family,8276.0,1374.0,235000.0,2024-01-12,2024-01-15 00:00:00,Hartford,Connecticut,06120,"['community_park', 'energy_efficient', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'basement', 'two_or_more_stories', 'big_yard']",0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,301497.22222222225,301497.22222222225
