baths,type,lot_sqft,sqft,garage_2_or_more,community_security_features,farm,open_floor_plan,encoded_city,encoded_state,sold_price
2,7,-0.0286819515797113,-0.1366281595252185,1,0,0,1,-0.7776386219869439,-0.7692086872904033,345000.0
0,9,-0.0341414302254999,0.7138387477638922,1,0,0,0,-0.7776386219869439,-0.7692086872904033,196000.0
2,7,-0.0311742334169638,-0.5370165125073953,0,0,1,0,-0.7776386219869439,-0.7692086872904033,205000.0
3,6,-0.0341212674556348,0.6861269047173931,0,0,0,0,-0.7776386219869439,-0.7692086872904033,295000.0
0,9,-0.0346163451967835,-0.1949185880023373,0,0,0,0,-0.7776386219869439,-0.7692086872904033,106000.0
6,6,-0.0346163451967835,-0.0706930846904447,0,0,0,0,-0.7776386219869439,-0.7692086872904033,10000.0
1,6,-0.0346163451967835,-0.147139548266994,0,0,0,0,-0.7776386219869439,-0.7692086872904033,71500.0
1,7,-0.033785584584366,-0.9116041840324868,0,0,0,0,-0.7776386219869439,-0.7692086872904033,100000.0
1,7,-0.0324799090006649,-0.5637727747591876,0,0,0,0,-0.7776386219869439,-0.7692086872904033,208000.0
0,10,-0.0305807940552566,-1.6072670025790852,0,0,0,0,-0.7776386219869439,-0.7692086872904033,28000.0
3,6,-0.0342079128720824,0.1586463060392031,1,0,1,0,-0.7776386219869439,-0.7692086872904033,346000.0
1,7,-0.0311742334169638,-0.1719846489293725,0,0,0,0,-0.7776386219869439,-0.7692086872904033,195000.0
2,7,-0.0325987058609516,-0.1872739416446824,0,0,0,1,-0.7776386219869439,-0.7692086872904033,270000.0
3,4,-0.0348536664474938,-0.2197636886647158,0,0,0,0,-0.7776386219869439,-0.7692086872904033,180000.0
2,7,-0.0274950728562968,0.0573547418002752,0,0,0,0,-0.7776386219869439,-0.7692086872904033,232000.0
1,6,-0.0342602270857866,-0.57523974429567,0,0,0,0,-0.7776386219869439,-0.7692086872904033,58000.0
3,7,-0.0323611121403783,-0.3650119694601594,0,0,1,0,-0.7776386219869439,-0.7692086872904033,275000.0
2,4,-0.0348536664474938,-0.1280279323728567,0,0,0,0,-0.7776386219869439,-0.7692086872904033,242000.0
3,6,-0.0342602270857866,-0.0783377310480996,0,0,0,0,-0.7776386219869439,-0.7692086872904033,241500.0
3,7,-0.0311742334169638,0.1930472146486502,1,0,0,0,-0.7776386219869439,-0.7692086872904033,350000.0
0,9,-0.0344975483364969,0.4338535749147805,0,0,0,0,-0.7776386219869439,-0.7692086872904033,274500.0
1,6,-0.0346163451967835,-0.439547271447295,0,0,0,0,-0.7776386219869439,-0.7692086872904033,107000.0
2,7,-0.0331921452226588,0.3535847881594037,0,0,0,0,-0.7776386219869439,-0.7692086872904033,237000.0
2,7,-0.0303434728045463,0.6135027643196713,0,0,0,0,-0.7776386219869439,-0.7692086872904033,305000.0
2,4,-0.033785584584366,-0.0487147264121868,1,0,0,0,-0.7776386219869439,-0.7692086872904033,229000.0
0,9,-0.0340229058350763,1.3903899504163533,0,0,0,0,-0.7776386219869439,-0.7692086872904033,225000.0
0,9,-0.0342602270857866,-0.2293194966117845,0,0,0,0,-0.7776386219869439,-0.7692086872904033,200000.0
0,9,-0.0343790239460733,0.6135027643196713,0,0,0,0,-0.7776386219869439,-0.7692086872904033,30000.0
3,7,-0.0311742334169638,0.2675825166357858,1,0,0,0,-0.7776386219869439,-0.7692086872904033,427900.0
0,9,-0.0342602270857866,-0.3363445456189535,0,0,0,0,-0.7776386219869439,-0.7692086872904033,200000.0
0,9,-0.0344975483364969,0.2847829709405094,0,0,0,0,-0.7776386219869439,-0.7692086872904033,225000.0
1,7,-0.0320052664992444,-0.3659675502548663,0,0,1,0,-0.7776386219869439,-0.7692086872904033,225000.0
2,7,-0.0314118271375371,0.509344457696623,0,0,1,0,-0.7776386219869439,-0.7692086872904033,283000.0
2,7,-0.0316240811608475,-0.0429812416439456,0,0,1,1,-0.7776386219869439,-0.7692086872904033,266900.0
3,7,-0.0306995909155432,-0.1566953562140627,1,0,0,0,-0.7776386219869439,-0.7692086872904033,497900.0
3,7,-0.0340229058350763,-0.196829749591751,1,0,0,0,-0.7776386219869439,-0.7692086872904033,260000.0
