year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1998,2,1,3,2,7,-0.031649148388247464,-0.19491858800233727,129900.0,-0.031704710086443245,-0.5625139528111264,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1945,1,2,4,2,7,-0.03307334836237219,-0.2799652787312483,88500.0,-0.0331531591254183,-0.3128769273237602,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1969,0,1,3,2,7,-0.030106151553836072,0.35931827292764484,145000.0,-0.03000368161572818,-0.5842191666713542,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1955,0,1,3,2,7,-0.03220743913762217,-0.2388753045588531,65000.0,-0.032275534152781234,-0.49996343111586017,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1984,0,1,3,2,7,-0.03188646963895774,0.11660075107210095,169000.0,-0.031853206084607545,-0.44765785982108264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.9395918596190329,-0.9510197602102742
1999,0,1,3,2,7,-0.03141182713753718,-0.196829749591751,180000.0,-0.031467933898544576,-0.5878579657060036,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
2001,0,1,4,2,7,-0.03141182713753718,0.19686953782747768,260000.0,-0.03135567637332679,-0.4941750205474513,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,-0.9395918596190329,-0.9510197602102742
1962,0,1,3,2,7,-0.03129303027725052,0.038243125906137966,60000.0,-0.031282109548548154,-0.5449849911156267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1965,2,1,3,2,7,-0.03176767277867108,-0.04489240323335936,159000.0,-0.03178045666899311,-0.5088341965092237,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1974,0,2,3,3,7,0.16691571653296222,1.58341727094714,424900.0,0.1673671177645645,-0.910528039909231,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1956,0,0,0,0,10,0.8909117378157753,-1.607267002579085,370000.0,0.8904529862863532,-0.923479390594409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1969,0,1,3,2,7,-0.030936912166253577,-0.10127167012106444,140000.0,-0.03096577220199999,-0.6085713162895205,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
1954,0,1,3,1,7,-0.03117423341696386,0.05162125703203409,149900.0,-0.03115949817391708,-0.5542274997146202,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9395918596190329,-0.9510197602102742
