year_built,garage,stories,beds,baths,type,lot_sqft,sqft,sold_price,total_sqft,building_ratio,garage_1_or_more,central_air,community_outdoor_space,dishwasher,basement,fireplace,forced_air,single_story,two_or_more_stories,garage_2_or_more,hardwood_floors,laundry_room,washer_dryer,shopping,recreation_facilities,dining_room,community_security_features,view,central_heat,family_room,city_view,fenced_yard,big_lot,floor_plan,new_roof,rental_property,updated_kitchen,community_swimming_pool,farm,ensuite,corner_lot,ranch,big_yard,modern_kitchen,energy_efficient,open_floor_plan,encoded_city,encoded_state
1998,2,1,3,2,7,-0.03162874130204232,-0.19696264998197316,129900.0,-0.1969626499842729,-0.5632155530294622,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1969,0,1,3,2,7,-0.03008467506924029,0.3550575235341744,145000.0,0.35505752353187464,-0.5849061375221685,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1955,0,1,3,2,7,-0.03218741898366184,-0.2407435602953228,65000.0,-0.24074356029762253,-0.5007071905396494,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1984,0,1,3,2,7,-0.03186622703200357,0.11331075789089598,169000.0,0.11331075788859625,-0.44843687332855997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-0.9374444454955034,-0.9488561038216801
1999,0,1,3,2,7,-0.03139125557208107,-0.198866167821684,180000.0,-0.19886616782398375,-0.5885424839973196,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
2001,0,1,4,2,7,-0.03139125557208107,0.19325850715875184,260000.0,0.1932585071564521,-0.4949226813741992,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1962,0,1,3,2,7,-0.03127237637774914,0.03526652646275099,60000.0,0.03526652646045125,-0.5456984058972544,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1965,2,1,3,2,7,-0.03174734783767165,-0.047536499564671146,159000.0,-0.04753649956697088,-0.5095719770153219,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1956,0,0,0,0,10,0.8915715403336306,-1.603662333528294,370000.0,-1.6036623335305937,-0.9239376992199547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1954,0,1,3,1,7,-0.031153497183417218,0.04859115134072696,149900.0,0.04859115133842723,-0.5549346850227219,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1966,0,1,2,1,7,-0.03364777899476685,-0.23884004245561194,45000.0,-0.23884004245791168,0.021001580614108478,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
2006,2,1,4,2,7,-0.03127237637774914,0.4273912014431868,310000.0,0.4273912014408871,-0.4552021289814863,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.9374444454955034,-0.9488561038216801
1986,0,1,3,2,7,-0.0329350491461805,-0.033260115766839744,147000.0,-0.03326011576913948,-0.24443092883328602,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1968,2,1,5,2,7,-0.03032216079920154,0.5511198610243924,195000.0,0.5511198610220925,-0.5313449000663357,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1968,2,1,3,2,7,-0.030203554263572213,0.06381929405841379,136000.0,0.06381929405611406,-0.6279085536494421,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1958,0,1,3,1,7,-0.03174734783767165,-0.6890220115472289,31500.0,-0.6890220115495286,-0.680386959746773,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1967,0,1,4,2,7,-0.03139125557208107,0.19706554283817354,178000.0,0.1970655428358738,-0.49401375125164465,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.9374444454955034,-0.9488561038216801
1975,0,1,4,2,7,-0.03174734783767165,0.01337607130607617,172500.0,0.013376071303776434,-0.4933521566966085,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.9374444454955034,-0.9488561038216801
1962,2,1,3,2,7,-0.016307230827056544,0.14091176656670337,150000.0,0.14091176656440363,-0.8465111219406027,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1945,0,1,3,3,7,0.050679013909361796,1.3391762466646857,170000.0,1.339176246662386,-0.895639308420647,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1957,0,1,3,1,7,-0.03139125557208107,-0.290235024127805,125000.0,-0.2902350241301047,-0.6103568069386291,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
1984,0,1,3,2,7,-0.03317280753484435,-0.1389053558707921,162000.0,-0.13890535587309186,-0.1995120445307045,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9374444454955034,-0.9488561038216801
